"","lat","long","depth","mag","stations"
"2785",61.43017,-151.88517,1.49,-0.18,1
"2786",63.1688,-151.3685,8.5,0.8,1
"2787",36.034,-120.59467,3.72,1.54,2
"2788",36.8146,27.9973,73.67,4.8,13
"2789",36.038,-120.60317,4.97,0.53,2
"2790",33.32417,-116.40167,6.93,1.28,2
"2791",-5.3536,129.06,245.83,4.6,13
"2792",34.994,-118.188,-0.8,1.22,2
"2793",36.8144,-116.2096,3.6,0,9
"2794",44.0723,-105.5294,0,2.8,13
"2795",61.5143,-149.8983,45.4,1.1,1
"2796",61.4747,-148.7883,29.4,1.9,1
"2797",33.68333,-116.70917,15.73,0.73,2
"2798",33.68383,-116.70883,15.8,0.51,2
"2799",40.364,-123.68983,29.28,1.86,2
"2800",35.562,-118.337,3.78,1.43,2
"2801",38.58433,-112.24167,-1.19,1.8,14
"2802",38.83883,-122.83667,1.85,1,2
"2803",65.4162,-153.4099,13.5,1,1
"2804",-43.1219,42.3568,13,6.7,13
"2805",62.1458,-150.352,57.7,1.6,1
"2806",61.393,-150.0332,44.7,1.8,1
"2807",60.2477,-151.8918,67.8,2.4,1
"2808",64.8665,-149.0593,19.1,0.6,1
"2809",61.2781,-150.0566,41.8,1.3,1
"2810",-30.354,-178.6965,132.31,4.4,13
"2811",33.7105,-116.71183,17.15,0.65,2
"2812",38.77267,-122.74433,1.87,1.12,2
"2813",69.3088,-145.0668,10.6,2.2,1
"2814",19.40483,-155.28067,0.52,1.73,4
"2815",35.2742,-97.8685,5,2.3,13
"2816",33.49683,-116.7865,5.37,0.58,2
"2817",62.5584,-150.1648,9.6,1.1,1
"2818",61.3933,-150.08,44.3,1.2,1
"2819",61.4814,-149.9203,40.1,0.9,1
"2820",61.4804,-149.9664,51.2,0.9,1
"2821",33.0495,-116.3915,13.15,0.66,2
"2822",-17.2839,-171.8365,23.09,4.5,13
"2823",60.4678,-142.936,17.3,0.9,1
"2824",61.477,-149.907,34.8,1.5,1
"2825",38.809,-122.76867,1.92,-0.18,2
"2826",33.49483,-116.793,3.71,0.48,2
"2827",33.49483,-116.794,3.38,0.31,2
"2828",60.4351,-140.5914,13.2,1.2,1
"2829",59.735,-152.3421,76.3,2,1
"2830",19.40583,-155.27516,0.91,1.85,4
"2831",27.2579,86.9202,10,4.3,13
"2832",38.5763,-116.1866,1.8,2,9
"2833",19.36183,-155.30817,30.24,1.61,4
"2834",69.4892,-144.1154,14.5,1.5,1
"2835",33.48717,-116.79233,5.43,1.2,2
"2836",-30.1362,-71.5813,47.09,4.8,13
"2837",61.4955,-149.9339,42.9,2.7,1
"2838",19.20967,-155.46567,39.25,2.69,4
"2839",18.2688,-66.0063,71,1.9,3
"2840",-20.3726,-177.9546,545.16,4.5,13
"2841",-3.989,151.866,155.88,4.3,13
"2842",37.638,-118.81233,2.96,0.83,2
"2843",33.49983,-116.79417,5.3,0.37,2
"2844",46.379,-122.235,5.61,0.66,15
"2845",-20.3347,-175.883,202.25,4.9,13
"2846",6.7852,-72.9828,157,4.4,13
"2847",68.6253,-148.6526,13.8,1.2,1
"2848",38.82,-122.8015,2.55,0.88,2
"2849",61.3153,-151.4206,70.5,2.6,1
"2850",61.3695,-150.0099,42.3,0.9,1
"2851",52.1081,-173.7665,60.4,2.2,1
"2852",44.81617,-111.5245,12.9,1.01,7
"2853",60.21083,-152.98733,8.67,0.3,1
"2854",33.50267,-116.78467,8.84,0.47,2
"2855",38.78833,-122.74767,1.47,1,2
"2856",38.78517,-122.74217,1.57,1.88,2
"2857",60.20867,-152.99033,11.51,0.61,1
"2858",64.4744,-146.8521,9.2,1.1,1
"2859",60.9969,-151.6808,1.4,1.5,1
"2860",38.78517,-122.74233,1.01,2.06,2
"2861",18.1778,-66.8655,16,2.54,3
"2862",32.936,-115.5205,4.65,1.64,2
"2863",32.92067,-115.51233,7.48,1.61,2
"2864",19.417,-155.26401,2.56,1.93,4
"2865",64.6741,-149.0963,15.1,0.5,1
"2866",-13.0752,166.9835,188.78,4.2,13
"2867",-30.2224,-71.6299,43.82,4.8,13
"2868",63.0138,-150.7366,113.4,1.4,1
"2869",-15.1102,-173.1311,10,4.9,13
"2870",61.4727,-149.9356,42.4,1.3,1
"2871",-24.0715,-179.6911,505.71,4.6,13
"2872",63.253,-151.0486,7.2,0.9,1
"2873",19.413,-155.26517,1.91,1.93,4
"2874",59.9589,-139.4649,0,1.6,1
"2875",-8.3051,128.7408,10,4.8,13
"2876",61.6232,-149.554,36.7,1.6,1
"2877",60.8331,-151.9688,86.1,1.6,1
"2878",33.689,-116.72867,16.46,1.27,2
"2879",33.69233,-116.7285,16.64,0.94,2
"2880",61.4802,-149.9871,48,1.1,1
"2881",32.9485,-115.52833,8.16,2.68,2
"2882",34.3337,25.1992,10,4.4,13
"2883",34.0855,-117.28567,14.15,0.91,2
"2884",38.4143,-118.927,5,1.7,9
"2885",36.9655,-113.49817,6.91,1.84,14
"2886",-8.3389,128.6408,10,4.6,13
"2887",32.93633,-115.51433,5.85,1.98,2
"2888",62.4526,-151.3047,92.2,1.2,1
"2889",33.15083,-115.62,8.96,1.76,2
"2890",59.3046,-152.9826,78.5,2,1
"2891",38.7975,-122.79217,3.2,1.3,2
"2892",36.634,-121.248,5.93,2.39,2
"2893",-32.1287,-72.0474,10,4.6,13
"2894",1.5668,-90.4936,10,4.7,13
"2895",13.9777,-93.5883,10,4.2,13
"2896",69.4611,-144.0395,13.5,1.5,1
"2897",34.15783,-116.51867,2.54,1.03,2
"2898",33.51083,-116.797,4.65,0.81,2
"2899",51.8224,-167.9989,10,3.9,13
"2900",6.7516,-72.9118,163.39,4.4,13
"2901",61.6285,-149.8576,58,1.2,1
"2902",61.5364,-149.8756,44.4,0.9,1
"2903",69.3125,-145.0986,10,1.1,1
"2904",69.4724,-144.2947,0.6,1.4,1
"2905",36.5094,-99.0187,5,2.4,13
"2906",60.3475,-152.4939,100.2,1.8,1
"2907",18.9921,-65.542,43,3.02,3
"2908",37.8121,-114.452,4.5,2.2,9
"2909",64.7798,-147.3465,14,0.5,1
"2910",32.93317,-115.521,5.6,1.33,2
"2911",59.9749,-152.8222,92.6,1.6,1
"2912",19.33283,-155.11683,6.97,2.22,4
"2913",36.00217,-120.94867,9.35,0.82,2
"2914",18.977,-65.4478,60,2.68,3
"2915",66.9885,-149.7064,15.6,0.9,1
"2916",61.6087,-148.3295,10.1,1.5,1
"2917",37.63733,-118.81267,3.14,1.04,2
"2918",38.2506,-118.7548,7.8,0.4,9
"2919",34.03417,-116.622,10.76,1.03,2
"2920",56.6061,-148.3427,10,2.8,13
"2921",19.4085,-155.26466,2.13,1.79,4
"2922",59.9748,-152.4191,68.8,1.3,1
"2923",32.927,-115.5165,5.3,1.26,2
"2924",38.767,-122.71433,1.21,2.05,2
"2925",32.93367,-115.51533,6.01,1.74,2
"2926",28.6395,130.1651,35,4.5,13
"2927",-57.8132,-26.1289,35,4.6,13
"2928",61.1472,-151.7481,79.8,1.2,1
"2929",61.2369,-140.7124,9.7,1.1,1
"2930",61.5106,-150.0142,63.1,1.3,1
"2931",32.92233,-116.27517,10.26,1.29,2
"2932",32.92467,-116.27217,13.45,1.23,2
"2933",32.91933,-116.27633,12.38,1.64,2
"2934",65.171,-166.3368,13,1.8,1
"2935",60.7608,-152.4698,108.7,1.9,1
"2936",59.9181,-152.9488,108.5,1.9,1
"2937",38.83317,-122.82633,2.08,0.68,2
"2938",33.49017,-116.7845,4.31,0.32,2
"2939",61.4649,-149.945,44.1,0.9,1
"2940",19.0485,-65.771,41,2.73,3
"2941",37.63817,-118.8105,2.43,0.43,2
"2942",38.4965,-118.3641,1.8,0.9,9
"2943",32.9485,-115.51567,14.1,3.58,2
"2944",18.9023,-65.8555,63,2,3
"2945",37.53283,-118.8755,8.01,1.53,2
"2946",37.641,-118.816,1.31,0.07,2
"2947",33.49783,-116.78733,5.72,0.58,2
"2948",19.40983,-155.26833,1.79,2.03,4
"2949",33.31883,-116.4065,7.34,0.91,2
"2950",19.167,-155.466,30.37,1.68,4
"2951",38.8395,-122.785,0.88,0.76,2
"2952",38.84,-122.8395,1.87,0.78,2
"2953",37.64067,-118.81117,1.59,0.11,2
"2954",19.048,-65.8138,42,2.57,3
"2955",44.25633,-114.54817,6.37,1.61,7
"2956",33.22583,-116.73633,11.29,0.78,2
"2957",61.3814,-149.9606,45.3,2.2,1
"2958",55.49567,-162.0735,4.56,0.89,1
"2959",33.49683,-116.80017,4.65,1.64,2
"2960",33.611,-116.724,4.26,0.44,2
"2961",61.4274,-150.1266,42,1.3,1
"2962",59.7108,-153.1556,106.3,2.7,1
"2963",37.8625,-122.23917,9.29,1.12,2
